month,cpi_raw,cpi_yoy_pct,btc_monthly_avg
2022-09,296.349,8.192106896425821,19820.503938870683
2022-10,298.007,7.758813957693,19614.28474983723
2022-11,298.786,7.122856456533988,17712.67869374348
2022-12,298.832,6.404600402357152,16966.382112325467
2023-01,300.42,6.327178517960097,20044.788879919153
2023-02,301.45,5.957820738137087,23308.15061444375
2023-03,301.821,4.917719362889961,24986.55402819354
2023-04,302.845,4.950079879124369,28833.24928947539
2023-05,303.334,4.131851231385042,27572.75180546727
2023-06,304.014,3.070617072997095,27657.394154036556
2023-07,304.609,3.287749268428297,30090.07957460349
2023-08,306.082,3.722504803505289,27950.695465212124
2023-09,307.276,3.687206638119256,26267.484927346322
2023-10,307.696,3.2512659098611785,29503.236965590902
2023-11,308.148,3.1333462745911866,36510.04472803711
2023-12,308.741,3.3159099427102934,42406.689796405
2024-01,309.698,3.0883429864855705,42900.73695831616
2024-02,310.967,3.157074141648697,49232.51961805317
2024-03,312.345,3.4868349120836584,67410.81873208864
