date,btc_price,market_cap_btc,trading_vol_btc,breakeven_5y,dxy_close,sp500_close,month,cpi_raw,cpi_yoy_pct,btc_monthly_avg
2013-06-07,119.0,1339234925.0,0.0,1.89,81.69000244140625,1643.3800048828125,2013-06,232.445,,107.80035862068965
2013-06-08,110.09,1239395972.0,0.0,1.89,81.69000244140625,1643.3800048828125,2013-06,232.445,,107.80035862068965
2013-06-09,108.401,1220874393.0,0.0,1.89,81.69000244140625,1643.3800048828125,2013-06,232.445,,107.80035862068965
2013-06-10,99.7497,1123844958.0,0.0,1.85,81.6500015258789,1642.81005859375,2013-06,232.445,,107.80035862068965
2013-06-11,105.99,1194605341.0,0.0,1.83,81.05999755859375,1626.1300048828125,2013-06,232.445,,107.80035862068965
2013-06-12,108.9,1227904672.0,0.0,1.81,80.95999908447266,1612.52001953125,2013-06,232.445,,107.80035862068965
2013-06-13,108.4,1222819750.0,0.0,1.8,80.62000274658203,1636.3599853515625,2013-06,232.445,,107.80035862068965
2013-06-14,102.769,1159766150.0,0.0,1.82,80.66999816894531,1626.72998046875,2013-06,232.445,,107.80035862068965
2013-06-15,98.399,1110902570.0,0.0,1.82,80.66999816894531,1626.72998046875,2013-06,232.445,,107.80035862068965
2013-06-16,99.99,1129287060.0,0.0,1.82,80.66999816894531,1626.72998046875,2013-06,232.445,,107.80035862068965
2013-06-17,100.42,1134610433.0,0.0,1.8,80.56999969482422,1639.0400390625,2013-06,232.445,,107.80035862068965
2013-06-18,102.0,1152834600.0,0.0,1.84,80.62000274658203,1651.81005859375,2013-06,232.445,,107.80035862068965
2013-06-19,106.55,1204638318.0,0.0,1.83,81.43000030517578,1628.9300537109375,2013-06,232.445,,107.80035862068965
2013-06-20,107.9,1220273470.0,0.0,1.74,81.83999633789062,1588.18994140625,2013-06,232.445,,107.80035862068965
2013-06-21,110.91,1254733148.0,0.0,1.66,82.31999969482422,1592.4300537109375,2013-06,232.445,,107.80035862068965
2013-06-22,109.015,1233750009.0,0.0,1.66,82.31999969482422,1592.4300537109375,2013-06,232.445,,107.80035862068965
2013-06-23,107.25,1214260369.0,0.0,1.66,82.31999969482422,1592.4300537109375,2013-06,232.445,,107.80035862068965
2013-06-24,108.0,1223181000.0,0.0,1.62,82.43000030517578,1573.0899658203125,2013-06,232.445,,107.80035862068965
2013-06-25,102.443,1160635652.0,0.0,1.65,82.58000183105469,1588.030029296875,2013-06,232.445,,107.80035862068965
2013-06-26,103.691,1175194910.0,0.0,1.67,82.94999694824219,1603.260009765625,2013-06,232.445,,107.80035862068965
2013-06-27,103.39,1172207388.0,0.0,1.73,82.91000366210938,1613.199951171875,2013-06,232.445,,107.80035862068965
2013-06-28,99.66,1130338737.0,0.0,1.76,83.16999816894531,1606.280029296875,2013-06,232.445,,107.80035862068965
2013-06-29,93.3311,1058953327.0,0.0,1.76,83.16999816894531,1606.280029296875,2013-06,232.445,,107.80035862068965
2013-06-30,95.3886,1082693996.0,0.0,1.76,83.16999816894531,1606.280029296875,2013-06,232.445,,107.80035862068965
